source_id,url,publisher,title,version_or_date,retrieval_date,license_or_reuse,claim_supported,current_status
SRC-01,https://www.ecfr.gov/current/title-12/chapter-X/part-1002/section-1002.9,National Archives and Records Administration / eCFR (CFPB authority),12 CFR 1002.9 — Notifications,Current eCFR as of retrieval; last listed section change 2023-08-29,2026-08-24,U.S. government work; short public-domain excerpts with citation,Live adverse-action notification rule requiring specific principal reasons,Current
SRC-02,https://www.consumerfinance.gov/rules-policy/regulations/1002/9/,Consumer Financial Protection Bureau,§ 1002.9 Notifications (Regulation B),Page labeled “This version is the current regulation” on retrieval,2026-08-24,U.S. government work; citation plus short excerpts,Same 1002.9 content and official-interpretation comments on specific reasons,Current
SRC-03,https://www.consumerfinance.gov/rules-policy/regulations/1002/interp-9/,Consumer Financial Protection Bureau,Comment for 1002.9 — Notifications,Page labeled current regulation on retrieval,2026-08-24,U.S. government work; citation-only plus short public-domain comments,"Official interpretations 9(b)(2) on principal reasons, scored factors, and insufficient generic wording",Current
SRC-04,https://www.ecfr.gov/current/title-12/chapter-X/part-1002/appendix-Supplement%20I%20to%20Part%201002,National Archives and Records Administration / eCFR,Supplement I to Part 1002 — Official Interpretations,Current eCFR as of retrieval,2026-08-24,U.S. government work; short excerpts of 9(b)(2) comments,Reasons must relate to factors actually considered or scored,Current
SRC-05,https://www.ecfr.gov/current/title-12/chapter-X/part-1002/appendix-Appendix%20C%20to%20Part%201002,National Archives and Records Administration / eCFR,Appendix C to Part 1002 — Sample Notification Forms,Current eCFR as of retrieval,2026-08-24,"U.S. government work; sample-reason phrases adapted as synthetic training wording, not as issued notices",Examples of specific (not generic) sample reasons,Current sample forms; not themselves a legal conclusion
SRC-06,https://www.ecfr.gov/current/title-12/chapter-X/part-1002/section-1002.4,National Archives and Records Administration / eCFR,12 CFR 1002.4 — General rules,"Current eCFR; amended 91 FR 21668 (2026-04-22), effective 2026-07-21",2026-08-24,U.S. government work; citation-only for status,Current discouragement wording exists; packet does not interpret the 2026 amendment as legal advice,Current (post-2026 amendment)
SRC-07,https://www.ecfr.gov/current/title-12/chapter-X/part-1002/section-1002.6,National Archives and Records Administration / eCFR,12 CFR 1002.6 — Rules concerning evaluation of applications,"Current eCFR; amended 91 FR 21668 (2026-04-22), effective 2026-07-21",2026-08-24,U.S. government work; citation-only for status,Prohibited-basis evaluation rules as currently published; packet does not issue a disparate-impact legal opinion,Current (post-2026 amendment)
SRC-08,https://www.ecfr.gov/current/title-12/chapter-X/part-1002,National Archives and Records Administration / eCFR,12 CFR Part 1002 — Equal Credit Opportunity Act (Regulation B),Current eCFR as of retrieval,2026-08-24,U.S. government work; citation-only,Part-level current Regulation B location,Current
SRC-09,https://www.consumerfinance.gov/compliance/compliance-resources/other-applicable-requirements/equal-credit-opportunity-act/,Consumer Financial Protection Bureau,Providing equal credit opportunities (ECOA),Page retrieved 2026-08-24; notes 2026-04-22 final rule and 2025-05-12 withdrawal,2026-08-24,U.S. government work; citation-only,CFPB public index of ECOA resources and current-status pointers,Current index page
SRC-10,https://www.consumerfinance.gov/compliance/circulars/,Consumer Financial Protection Bureau,Guidance,Page retrieved 2026-08-24; records 2025-04-11 memorandum and 2025-05-12 withdrawal,2026-08-24,U.S. government work; citation-only,Public record of guidance review and May 2025 withdrawal,Current index page
SRC-11,https://www.federalregister.gov/documents/2025/05/12/2025-08286/interpretive-rules-policy-statements-and-advisory-opinions-withdrawal,National Archives / Federal Register (CFPB document),"Interpretive Rules, Policy Statements, and Advisory Opinions; Withdrawal",90 FR 20084; applicable 2025-05-12; document number 2025-08286,2026-08-24,U.S. government work; citation plus identification of withdrawn circulars,Circulars 2022-03 and 2023-03 are withdrawn and are not current authority,Current withdrawal instrument
SRC-12,https://www.federalregister.gov/documents/2026/04/22/2026-07804/equal-credit-opportunity-act-regulation-b,National Archives / Federal Register (CFPB document),Equal Credit Opportunity Act (Regulation B),91 FR 21668; effective 2026-07-21; document number 2026-07804,2026-08-24,U.S. government work; citation-only; no legal opinion in this packet,A 2026 Regulation B amendment exists (disparate impact / discouragement / SPCP). Packet does not interpret it.,Current final rule; already effective as of retrieval
SRC-13,https://www.federalreserve.gov/supervisionreg/srletters/SR2602.htm,Board of Governors of the Federal Reserve System,SR 26-2: Revised Guidance on Model Risk Management,2026-04-17; last update 2026-04-17,2026-08-24,U.S. government work; citation-only,Current Fed MRM letter; supersedes SR 11-7 and SR 21-8,Current active SR letter
SRC-14,https://www.federalreserve.gov/supervisionreg/srletters/SR2602a1.pdf,"Federal Reserve Board, FDIC, and OCC",Supervisory Guidance on Model Risk Management (SR 26-2 attachment),2026-04-17,2026-08-24,U.S. government work; citation-only; not treated as enforceable standards,"Risk-based, non-prescriptive current interagency MRM guidance as general governance context",Current attachment to SR 26-2
SRC-15,https://www.federalreserve.gov/supervisionreg/srletters/srletters.htm,Board of Governors of the Federal Reserve System,Supervision and Regulation Letters (active list),Last update 2026-04-17 as printed on page,2026-08-24,U.S. government work; citation-only,Active SR list includes SR 26-2 and does not list SR 11-7,Current index
SRC-16,https://www.federalreserve.gov/supervisionreg/srletters/sr1107.htm,Board of Governors of the Federal Reserve System,Former SR 11-7 page (not found),Originally 2011-04-04; superseded 2026-04-17,2026-08-24,Not reused; HTTP 404,SR 11-7 is not currently hosted at the historical URL and is superseded,Not current (404; superseded by SR 26-2)
SRC-17,https://www.nist.gov/itl/ai-risk-management-framework,National Institute of Standards and Technology,AI Risk Management Framework,Page retrieved 2026-08-24; notes 1.0 being revised; concept note dated 2026-04-07,2026-08-24,U.S. government work; citation-only,NIST currently publishes AI RMF 1.0 while stating a revision is underway,Current landing page; 1.0 still posted
SRC-18,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf,National Institute of Standards and Technology,Artificial Intelligence Risk Management Framework (AI RMF 1.0),"NIST AI 100-1, January 2023; DOI 10.6028/NIST.AI.100-1",2026-08-24,U.S. government work; citation-only (voluntary framework),"Voluntary Govern/Map/Measure/Manage framing as general governance context, not a lending rule",Currently posted 1.0; revision noted by NIST
SRC-19,https://www.ftc.gov/system/files/ftc_gov/pdf/EEOC-CRT-FTC-CFPB-AI-Joint-Statement%28final%29.pdf,"FTC (joint with CFPB, DOJ Civil Rights Division, EEOC)",Joint Statement on Enforcement Efforts Against Discrimination and Bias in Automated Systems,2023 joint statement (PDF retrieved 2026-08-24),2026-08-24,U.S. government work; citation-only; document says it creates no rights or obligations,Informational 2023 statement only; its circular citation is stale after the 2025 withdrawal and is not used as current adverse-action authority,Retrieved PDF; not treated as current 1002.9 authority
