fixture_row_id,audit_only_flag,excluded_from_runtime_and_vendor_inputs,synthetic_sex,synthetic_race_ethnicity,synthetic_age_band,synthetic_outcome,synthetic_score_label,synthetic_reason_code,nonidentifying_note
SYN-FF-001,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-Black,18-24,approve,680,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-002,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-Black,25-39,refer,630,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-003,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-Black,40-54,deny,540,CCUS-EMP-LEN,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-004,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-Black,55+,deny,540,CCUS-BUR-DLQ,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-005,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-White,18-24,approve,680,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-006,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-White,25-39,refer,630,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-007,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-White,40-54,deny,540,CCUS-INC-AMT,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-008,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-White,55+,deny,540,CCUS-INC-OBL,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-009,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-Hispanic,18-24,approve,680,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-010,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-Hispanic,25-39,refer,630,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-011,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-Hispanic,40-54,deny,540,CCUS-BUR-THIN,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-012,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-Hispanic,55+,deny,540,CCUS-BUR-INQ,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-013,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-Asian,18-24,approve,680,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-014,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-Asian,25-39,refer,630,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-015,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-Asian,40-54,deny,540,CCUS-EMP-LEN,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-016,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Female,SYN-Asian,55+,deny,540,CCUS-BUR-DLQ,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-017,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-Black,18-24,approve,680,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-018,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-Black,25-39,refer,630,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-019,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-Black,40-54,deny,540,CCUS-INC-AMT,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-020,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-Black,55+,deny,540,CCUS-INC-OBL,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
SYN-FF-021,AUDIT_ONLY_OFFLINE_FAIRNESS_FIXTURE,true,Male,SYN-White,18-24,approve,680,,"Wholly synthetic row. Not a person. Not production evidence. Protected-class columns are audit-only labels and must not enter scoring, runtime, traces, or consumer output."
