reason_code,source_data_category,applicability,approved_wording_id,prohibited_generic_wording,version,effective_date,human_review_required,specificity_note
CCUS-INC-AMT,documented_income,deny_when_income_does_not_support_requested_amount,W-INC-AMT,"Statements that the action was based on internal standards or policies, that the applicant failed to achieve a qualifying score, or that the model score was too low are insufficient and must be refused.",CCUS-SYN-2026.08.24,2026-08-24,yes,Names the income-to-requested-amount factor actually scored.
CCUS-INC-OBL,existing_obligations,deny_when_existing_obligations_are_excessive_relative_to_income,W-INC-OBL,"Statements that the action was based on internal standards or policies, that the applicant failed to achieve a qualifying score, or that the model score was too low are insufficient and must be refused.",CCUS-SYN-2026.08.24,2026-08-24,yes,"Names obligations relative to income, not a generic score."
CCUS-EMP-LEN,employment_history,deny_when_employment_length_is_insufficient_for_requested_term,W-EMP-LEN,"Statements that the action was based on internal standards or policies, that the applicant failed to achieve a qualifying score, or that the model score was too low are insufficient and must be refused.",CCUS-SYN-2026.08.24,2026-08-24,yes,Names employment length versus requested term.
CCUS-EMP-IRR,employment_history,deny_when_employment_is_temporary_or_irregular,W-EMP-IRR,"Statements that the action was based on internal standards or policies, that the applicant failed to achieve a qualifying score, or that the model score was too low are insufficient and must be refused.",CCUS-SYN-2026.08.24,2026-08-24,yes,"Names employment regularity, not occupancy or a protected basis."
CCUS-BUR-DLQ,consumer_report,deny_when_report_shows_delinquent_obligations_with_others,W-BUR-DLQ,"Statements that the action was based on internal standards or policies, that the applicant failed to achieve a qualifying score, or that the model score was too low are insufficient and must be refused.",CCUS-SYN-2026.08.24,2026-08-24,yes,Names delinquency on obligations with others.
CCUS-BUR-THIN,consumer_report,deny_when_credit_experience_is_limited,W-BUR-THIN,"Statements that the action was based on internal standards or policies, that the applicant failed to achieve a qualifying score, or that the model score was too low are insufficient and must be refused.",CCUS-SYN-2026.08.24,2026-08-24,yes,Names limited credit experience as scored from the file.
CCUS-BUR-NONE,consumer_report,deny_when_no_credit_file_exists,W-BUR-NONE,"Statements that the action was based on internal standards or policies, that the applicant failed to achieve a qualifying score, or that the model score was too low are insufficient and must be refused.",CCUS-SYN-2026.08.24,2026-08-24,yes,Names absence of a credit file.
CCUS-BUR-INQ,consumer_report,deny_when_recent_inquiry_count_is_a_principal_factor,W-BUR-INQ,"Statements that the action was based on internal standards or policies, that the applicant failed to achieve a qualifying score, or that the model score was too low are insufficient and must be refused.",CCUS-SYN-2026.08.24,2026-08-24,yes,Names recent inquiry count on the report.
CCUS-BUR-COLL,consumer_report,deny_when_collection_action_or_judgment_is_a_principal_factor,W-BUR-COLL,"Statements that the action was based on internal standards or policies, that the applicant failed to achieve a qualifying score, or that the model score was too low are insufficient and must be refused.",CCUS-SYN-2026.08.24,2026-08-24,yes,Names collection action or judgment.
CCUS-BUR-BNK,consumer_report,deny_when_bankruptcy_is_a_principal_factor,W-BUR-BNK,"Statements that the action was based on internal standards or policies, that the applicant failed to achieve a qualifying score, or that the model score was too low are insufficient and must be refused.",CCUS-SYN-2026.08.24,2026-08-24,yes,Names bankruptcy as the scored factor.
CCUS-AMT-MAX,requested_credit,deny_when_requested_amount_exceeds_product_maximum_supported_by_income,W-AMT-MAX,"Statements that the action was based on internal standards or policies, that the applicant failed to achieve a qualifying score, or that the model score was too low are insufficient and must be refused.",CCUS-SYN-2026.08.24,2026-08-24,yes,Names requested amount versus product maximum given income.
CCUS-TERM-UNS,requested_credit,deny_when_requested_term_is_inconsistent_with_product_criteria,W-TERM-UNS,"Statements that the action was based on internal standards or policies, that the applicant failed to achieve a qualifying score, or that the model score was too low are insufficient and must be refused.",CCUS-SYN-2026.08.24,2026-08-24,yes,Names requested term versus stated product term criteria.
